sample,method,cells,dice,iou,mAP,pred_count,gt_count,count_error
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,opencv_watershed,16,0.6988088485536018,0.5370531822144725,0.08145252693391333,16,27,11
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,cellpose_sam,20,0.8653977550024402,0.7627322780454233,0.3796470433614362,20,27,7
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,opencv_watershed,33,0.881104033970276,0.7874762808349146,0.4781190877628284,33,36,3
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,cellpose_sam,36,0.9568815331010453,0.9173277661795407,0.8200220327810241,36,36,0
00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,opencv_watershed,35,0.7509433962264151,0.6012084592145015,0.13563972222943693,35,70,35
00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,cellpose_sam,71,0.9143336666190545,0.842186626319771,0.49527868788895707,71,70,1
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,opencv_watershed,43,0.765349286922891,0.6198913415887621,0.1132316151990179,43,86,43
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,cellpose_sam,61,0.7929305803381765,0.6569055328734338,0.16079432606565724,61,86,25
01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,opencv_watershed,6,0.8035878096014677,0.6716646788209235,0.31012626262626264,6,7,1
01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,cellpose_sam,7,0.9149437320073279,0.8432223830197781,0.5517676767676767,7,7,0
